src,dst
160124,164274
138157,44314
187244,128357
51585,166253
162522,7024
10677,16019
19966,57484
109948,12887
204140,22125
34753,148859
101909,57044
162458,185973
16290,73950
102633,76211
193483,182067
16290,73950
43990,98428
201912,133106
47358,78396
73950,110865
108760,2043
119581,134871
118996,7848
133939,7848
78396,47358
16573,104590
139691,149525
108760,2043
111570,163600
45253,111570
124460,173005
135344,125222
17556,176813
16573,100696
50569,199241
199241,183661
127043,25353
30312,206253
9436,128736
190212,51585
162458,37000
111570,12844
16573,201394
41123,106018
187952,36455
36455,81344
67489,206253
113887,58775
103482,162458
36455,8715
165967,96121
38228,110714
165937,32867
96121,165967
204213,59799
22125,124642
105574,132786
46066,109494
112603,167526
125222,157095
179686,132066
67700,172736
70893,161096
5742,178447
173005,182067
138745,122927
210355,96521
73950,16290
161270,172736
99793,7467
128144,137356
9436,128736
16290,73950
7463,149247
163600,69976
50569,49253
219116,106952
132736,179686
148089,172799
132066,179686
183843,82347
131890,42815
40657,145487
128144,137356
138683,19966
16475,19966
45264,199241
182261,149247
98733,154966
186886,94257
175059,142479
7931,15671
19539,7931
189212,138157
50777,168530
132066,179686
152617,42815
35556,70932
18709,159696
23087,24557
183661,178764
139691,44425
208208,86477
208997,154100
100263,182261
93018,143562
70522,21926
61372,206856
139691,44425
139691,49389
164676,17532
177036,42736
91526,52537
133116,98117
67755,192201
210355,17925
7988,57674
158805,127043
206065,49431
160154,49708
199241,45264
73950,16290
35821,45253
182067,193483
44745,126739
182978,66693
49431,206065
95116,195290
163735,192848
163735,11073
128762,98428
2043,108476
103244,36086
133106,88855
41948,2968
154100,179686
74411,200503
71598,96121
2010,135607
50569,160154
162908,57702
128236,189146
83488,196376
110714,78851
108476,2043
5330,89920
93689,208208
50569,178764
182067,193483
109856,2118
25092,197955
19966,16475
182067,109856
68618,216749
2043,216749
131890,172696
7931,63381
7931,19539
181613,150293
6891,143562
80859,181613
7931,19539
125968,189212
16573,92871
16573,99344
162458,191902
128171,179489
68618,33113
22200,53653
137356,4638
57436,73950
121771,73950
181613,78800
172736,161270
209070,211666
212781,152476
12874,203713
9436,152617
95114,152278
32363,3361
208208,195860
195860,208208
182067,193483
213907,39617
111742,40651
102006,159696
61295,5790
53653,22200
117760,41465
38267,36493
36493,22125
125968,189212
152940,103244
200368,191231
215530,175430
89645,183050
93837,33668
43540,191992
43540,191992
128736,78641
150606,118950
164274,32284
136729,45253
216432,34753
92871,197955
163735,192848
83882,98428
155149,215818
53653,60203
189212,157297
98733,163526
112865,131890
131890,112865
9737,12844
111570,65420
182822,148815
165937,32867
23345,189212
163526,98733
178764,50569
195716,125768
136036,164746
136036,138640
181613,71526
83726,5327
16290,127558
10014,40651
68797,125772
36086,103104
60397,14525
187137,154845
120420,93559
161541,44314
152617,204213
189212,23345
21872,16374
49253,33571
200060,188539
182067,133171
149525,128236
10129,117287
204213,49708
17709,12874
144730,18344
125755,83934
212715,152947
178743,162522
181971,78450
45253,136729
82347,141734
53653,192862
77908,15017
182822,166469
199241,182067
49708,153441
63364,2450
33764,83934
110491,152476
16290,127558
128736,169132
49708,876
149247,190212
119060,138640
40651,111742
5327,83726
90196,109798
162458,4333
94838,162458
146055,162625
54770,138667
49095,54770
112004,32363
198973,21098
36086,121244
50569,178764
117287,10129
117287,10129
16573,87394
142479,213907
81236,45264
195716,202364
178764,183661
183661,178764
189212,157297
97890,32284
149117,144979
206055,105894
86935,7463
129701,182067
206253,25999
153897,152278
146034,138199
33571,49253
120740,135751
120740,135751
135301,107577
18609,138913
16573,137356
20754,65577
40651,151908
107577,135301
164323,211666
105894,91542
203701,42150
158540,212151
152278,172696
187788,35913
136036,125772
208999,39297
154100,73135
65468,48877
183661,165718
211666,82641
161541,44314
116500,95305
30477,189212
